Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2009-05-01 00:00:00-04:00,8.053323745727539,2.308308078590393,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-06-01 00:00:00-04:00,8.357908248901367,2.395610525566101,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-07-01 00:00:00-04:00,8.043386459350586,2.30545977407074,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-08-01 00:00:00-04:00,8.332744598388672,2.388397918746948,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-09-01 00:00:00-04:00,8.065677642822266,2.31184905140686,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-10-01 00:00:00-04:00,7.7331156730651855,2.216527479139328,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-11-01 00:00:00-04:00,7.514211654663086,2.153783458152771,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2009-12-01 00:00:00-05:00,7.596989154815674,2.177509807466507,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-01-01 00:00:00-05:00,7.440563201904297,2.132673749435425,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-02-01 00:00:00-05:00,7.0939040184021,2.033311520986557,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-03-01 00:00:00-05:00,7.609572887420654,2.181116657575607,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-04-01 00:00:00-04:00,8.552273750305176,2.451321120502472,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-05-01 00:00:00-04:00,8.322969436645508,2.3855960836868286,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-06-01 00:00:00-04:00,8.159232139587402,2.338664389705658,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-07-01 00:00:00-04:00,8.534367561340332,2.4461887053718567,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-08-01 00:00:00-04:00,8.116604804992676,2.3264462020454406,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-09-01 00:00:00-04:00,8.640504837036133,2.4766106204299927,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-10-01 00:00:00-04:00,9.539222717285156,2.7342083290100097,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-11-01 00:00:00-04:00,9.787436485290527,2.8053533449058534,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2010-12-01 00:00:00-05:00,10.282257080078125,2.9471827823486327,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-01-01 00:00:00-05:00,10.634449005126953,3.0481308494415282,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-02-01 00:00:00-05:00,11.26363754272461,3.2284739015960695,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-03-01 00:00:00-05:00,11.117134094238281,3.1864819111633302,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-04-01 00:00:00-04:00,11.138679504394531,3.1926574289855956,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-05-01 00:00:00-04:00,11.371363639831543,3.2593512173576356,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
2011-06-01 00:00:00-04:00,11.09113597869873,3.17903012330246,Brown &amp; Brown,Financial Services,Insurance Brokers,30.8078,4.653511,0.21214001,0.16519,0.05683,59.026,,Large Cap
