Date,Stock Price,Market Cap (Billion USD),Company,Sector,Industry,PE_Ratio,PB_Ratio,Profit_Margin,ROE,ROA,Debt_to_Equity,Company_Age_Years,Market_Cap_Category
2005-10-01 00:00:00+02:00,1652.2174072265625,1.611002844003296,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-11-01 00:00:00+01:00,1685.703369140625,1.643653498597412,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2005-12-01 00:00:00+01:00,1702.446044921875,1.6599785283312989,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-01-01 00:00:00+01:00,1838.6722412109375,1.7928065621539306,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-02-01 00:00:00+01:00,1903.360595703125,1.8558812656433106,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-03-01 00:00:00+01:00,1842.477294921875,1.796516698800049,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-04-01 00:00:00+02:00,1925.4307861328125,1.8774009151727296,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-05-01 00:00:00+02:00,1794.8375244140625,1.7500653023675536,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-06-01 00:00:00+02:00,1857.0196533203125,1.8106962980682373,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-07-01 00:00:00+02:00,1900.7774658203125,1.8533625719354248,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-08-01 00:00:00+02:00,2057.384521484375,2.0060630645959474,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-09-01 00:00:00+02:00,2162.556396484375,2.1086114271740724,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-10-01 00:00:00+02:00,2085.788330078125,2.033758340184326,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-11-01 00:00:00+01:00,2128.0107421875,2.0749275142236328,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2006-12-01 00:00:00+01:00,2309.183349609375,2.2515807709533693,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-01-01 00:00:00+01:00,2363.68896484375,2.304726743615723,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-02-01 00:00:00+01:00,2246.23388671875,2.190201582414551,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-03-01 00:00:00+01:00,2447.3662109375,2.386316660805664,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-04-01 00:00:00+02:00,2571.73046875,2.507578652207031,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-05-01 00:00:00+02:00,2494.96240234375,2.432725565217285,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-06-01 00:00:00+02:00,2576.760986328125,2.5124836835241697,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-07-01 00:00:00+02:00,2517.9345703125,2.455124692456055,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-08-01 00:00:00+02:00,2834.51513671875,2.7638081566333006,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-09-01 00:00:00+02:00,3134.06640625,3.0558871197460937,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-10-01 00:00:00+02:00,3096.138916015625,3.0189057307556153,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-11-01 00:00:00+01:00,2910.37060546875,2.837771410715332,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2007-12-01 00:00:00+01:00,3034.21630859375,2.958527782775879,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-01-01 00:00:00+01:00,2592.242431640625,2.52757894418335,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-02-01 00:00:00+01:00,2692.86669921875,2.625693139406738,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-03-01 00:00:00+01:00,2554.314697265625,2.490597317142334,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-04-01 00:00:00+02:00,2476.910888671875,2.415124346553955,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-05-01 00:00:00+02:00,2554.314697265625,2.490597317142334,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-06-01 00:00:00+02:00,2206.3046875,2.1512684170703125,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-07-01 00:00:00+02:00,2165.635009765625,2.1116132444470215,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-08-01 00:00:00+02:00,2209.432861328125,2.154318558602295,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-09-01 00:00:00+02:00,2119.491455078125,2.066620740731201,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-10-01 00:00:00+02:00,1948.9937744140625,1.9003761247113038,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-11-01 00:00:00+01:00,1837.935302734375,1.792088006607666,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2008-12-01 00:00:00+01:00,1532.9161376953125,1.494677544640503,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-01-01 00:00:00+01:00,1482.0797119140625,1.4451092335003661,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-02-01 00:00:00+01:00,1446.8853759765625,1.410792820272827,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-03-01 00:00:00+01:00,1191.920654296875,1.1621881935754395,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-04-01 00:00:00+02:00,1439.064208984375,1.4031667522912599,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-05-01 00:00:00+02:00,1538.00830078125,1.4996426837182617,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-06-01 00:00:00+02:00,1617.69775390625,1.5773442834350586,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-07-01 00:00:00+02:00,1689.418212890625,1.6472756755700684,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-08-01 00:00:00+02:00,1793.0146484375,1.7482878980322265,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-09-01 00:00:00+02:00,2004.98876953125,1.9549743246752929,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-10-01 00:00:00+02:00,1724.4818115234375,1.6814646127349853,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-11-01 00:00:00+01:00,1839.2349853515625,1.7933552686419678,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2009-12-01 00:00:00+01:00,1769.108154296875,1.7249777513879394,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2010-01-01 00:00:00+01:00,1832.8594970703125,1.7871388169158935,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
2010-02-01 00:00:00+01:00,1744.4041748046875,1.7008900126641846,Chocoladefabriken Lindt &amp; Sprüngli,Consumer Defensive,Confectioners,41.465767,0.5724075,0.12116,0.1478,0.06656,34.393,,Large Cap
